stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
StopArea:DUA8775804,"NANTERRE VILLE",,48.895138,2.194868,,,1,
StopArea:DUA8775813,"NOGENT SUR MARNE",,48.835293,2.471691,,,1,
StopArea:DUA8775814,"JOINVILLE LE PONT",,48.820823,2.464195,,,1,
StopArea:DUA8775815,"SAINT-MAUR CRETEIL",,48.806584,2.472383,,,1,
StopArea:DUA8775816,"LE PARC DE SAINT-MAUR",,48.804776,2.48608,,,1,
StopArea:DUA8775817,"CHAMPIGNY",,48.807135,2.510277,,,1,
StopArea:DUA8775818,"LA VARENNE CHENNEVIERES",,48.794701,2.513943,,,1,
StopArea:DUA8775819,"SUCY BONNEUIL",,48.77146,2.507341,,,1,
StopArea:DUA8775820,"BOISSY SAINT-LEGER",,48.75354,2.505655,,,1,
StopArea:DUA8775812,"FONTENAY SOUS BOIS",,48.843738,2.463965,,,1,
StopArea:DUA8775809,"SAINT-GERMAIN EN LAYE",,48.89836,2.095212,,,1,
StopArea:DUA8727600,"CREIL",,49.264052,2.469033,,,1,
StopArea:DUA8727611,"CHANTILLY GOUVIEUX",,49.1871,2.459565,,,1,
StopArea:DUA8727627,"ORRY LA VILLE COYE LA FORET",,49.138717,2.489615,,,1,
StopArea:DUA8727628,"LA BORNE BLANCHE",,49.126102,2.507166,,,1,
StopArea:DUA8727626,"SURVILLIERS FOSSES",,49.099552,2.525393,,,1,
StopArea:DUA8727625,"LOUVRES",,49.049381,2.50167,,,1,
StopArea:DUA8727623,"LES NOUES",,49.032737,2.477303,,,1,
StopArea:DUA8727624,"GOUSSAINVILLE",,49.023569,2.462444,,,1,
StopArea:DUA8727622,"VILLIERS LE BEL GONESSE ARNOUVILLE",,48.993863,2.416685,,,1,
StopArea:DUA8727619,"GARGES SARCELLES",,48.977031,2.390683,,,1,
StopArea:DUA8727101,"SAINT-DENIS",,48.934867,2.345801,,,1,
StopArea:DUA8716478,"STADE DE FRANCE SAINT-DENIS",,48.917838,2.352082,,,1,
StopArea:DUA8768124,"LE VERT DE MAISONS",,48.789412,2.433142,,,1,
StopArea:DUA8768180,"VILLENEUVE TRIAGE",,48.745601,2.438151,,,1,
StopArea:DUA8768130,"VIGNEUX SUR SEINE",,48.708257,2.414667,,,1,
StopArea:DUA8754524,"JUVISY",,48.689302,2.383947,,,1,
StopArea:DUA8768131,"VIRY CHATILLON",,48.676119,2.386003,,,1,
StopArea:DUA8768133,"RIS ORANGIS",,48.659086,2.414582,,,1,
StopArea:DUA8768135,"GRAND BOURG",,48.648127,2.436067,,,1,
StopArea:DUA8768136,"EVRY - Val de Seine",,48.634128,2.452286,,,1,
StopArea:DUA8768100,"CORBEIL ESSONNES",,48.613748,2.473037,,,1,
StopArea:DUA8768137,"GRIGNY CENTRE",,48.653344,2.395456,,,1,
StopArea:DUA8768134,"ORANGIS BOIS DE L EPINE",,48.636549,2.407577,,,1,
StopArea:DUA8768138,"EVRY COURCOURONNES - Centre",,48.625577,2.42838,,,1,
StopArea:DUA8768139,"LE BRAS DE FER - Evry Génopole",,48.623608,2.450884,,,1,
StopArea:DUA8768140,"MOULIN GALANT",,48.586469,2.473279,,,1,
StopArea:DUA8768141,"MENNECY",,48.570892,2.433094,,,1,
StopArea:DUA8768143,"BALLANCOURT",,48.532149,2.371255,,,1,
StopArea:DUA8768145,"LA FERTE ALAIS",,48.484731,2.351164,,,1,
StopArea:DUA8768147,"BOUTIGNY SUR ESSONNE",,48.434974,2.377124,,,1,
StopArea:DUA8768148,"MAISSE",,48.393162,2.393502,,,1,
StopArea:DUA8768151,"BUNO GIRONVILLE",,48.370719,2.387109,,,1,
StopArea:DUA8768440,"BOIGNEVILLE",,48.342505,2.378755,,,1,
StopArea:DUA8768441,"MALESHERBES",,48.294105,2.400814,,,1,
StopArea:DUA8768160,"ESSONNES ROBINSON",,48.605783,2.464144,,,1,
StopArea:DUA8768161,"VILLABE",,48.592978,2.461094,,,1,
StopArea:DUA8768162,"LE PLESSIS CHENET",,48.573434,2.479583,,,1,
StopArea:DUA8768163,"LE COUDRAY MONTCEAUX",,48.566322,2.49266,,,1,
StopArea:DUA8768254,"SAINT-FARGEAU",,48.56456,2.542515,,,1,
StopArea:DUA8768252,"PONTHIERRY PRINGY",,48.534986,2.544485,,,1,
StopArea:DUA8768251,"BOISSISE LE ROI",,48.529459,2.572692,,,1,
StopArea:DUA8768250,"VOSVES",,48.515036,2.599174,,,1,
StopArea:DUA8754519,"BRETIGNY",,48.606914,2.301907,,,1,
StopArea:DUA8754545,"LA NORVILLE SAINT-GERMAIN LES ARPAJON",,48.591564,2.267266,,,1,
StopArea:DUA8754546,"ARPAJON",,48.586135,2.241353,,,1,
StopArea:DUA8754547,"EGLY",,48.582503,2.222141,,,1,
StopArea:DUA8754548,"BREUILLET BRUYERES LE CHATEL",,48.577152,2.191803,,,1,
StopArea:DUA8754549,"BREUILLET VILLAGE",,48.564846,2.171673,,,1,
StopArea:DUA8754550,"SAINT-CHERON",,48.551196,2.125692,,,1,
StopArea:DUA8754551,"SERMAISE",,48.535565,2.069302,,,1,
StopArea:DUA8754552,"DOURDAN",,48.533593,2.008359,,,1,
StopArea:DUA8739317,"CHAVILLE VELIZY",,48.799767,2.183882,,,1,
StopArea:DUA8739308,"MEUDON VAL FLEURY",,48.807902,2.241575,,,1,
StopArea:DUA8739307,"ISSY",,48.819832,2.258532,,,1,
StopArea:DUA8739330,"ISSY VAL DE SEINE",,48.829834,2.263957,,,1,
StopArea:DUA8739332,"PONT GARIGLIANO - HOPITAL EUROPEEN GEORGES POMPIDOU",,48.838937,2.2713,,,1,
StopArea:DUA8739306,"JAVEL",,48.845906,2.277382,,,1,
